"DATE","Quarter","Primary.Energy.Consumed.by.the.Residential.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Residential.Sector","End.Use.Energy.Consumed.by.the.Residential.Sector","Residential.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Residential.Sector","Primary.Energy.Consumed.by.the.Commercial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Commercial.Sector","End.Use.Energy.Consumed.by.the.Commercial.Sector","Commercial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Commercial.Sector","Primary.Energy.Consumed.by.the.Industrial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Industrial.Sector","End.Use.Energy.Consumed.by.the.Industrial.Sector","Industrial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Industrial.Sector","GDP","Month","Formatted.Data"
1988,"Q3",1828.1228056574,750.439524984693,2589.06223997477,1701.01870260875,4266.07942894186,1011.60723031056,657.216735222988,1694.0883956645,1493.42994869387,3133.24239574124,5006.91882682633,757.726708195323,5763.73584125733,1710.36185786594,7472.60677791491,8789.39195591196,"July",6756.22339458235
1988,"Q4",1826.16839990583,755.550275366688,2591.51530570855,1711.61762581791,4279.59039701075,1011.66010995362,662.968652150243,1699.19374644681,1505.71961315795,3152.31895448102,5032.63036798114,763.01673282763,5795.07433463278,1722.18826409767,7516.55047029081,8858.53657515572,"October",6847.53583739344
1989,"Q1",1824.21399415427,760.686310588537,2593.96837144233,1722.31794457904,4293.23495973125,1011.72398532119,668.746516164496,1704.29909722911,1518.1032184342,3171.610555875,5059.59822248873,768.342584680501,5827.69658477363,1734.19425917188,7561.93031637517,8926.9299660561,"January",6938.84828020453
1989,"Q2",1822.25958840273,765.84755545111,2596.42143717612,1733.118474107,4307.00857302903,1011.79887046506,674.551113409449,1709.40444801142,1530.58176598249,3191.11239123417,5087.62204413672,773.68105936904,5861.37515565287,1746.31472792261,7608.44479138457,8994.55934129071,"April",7030.16072301562
1989,"Q3",1820.30518265119,771.033921178173,2598.87450290992,1744.0178490464,4320.90649953974,1011.88477198754,680.383391881913,1714.50979879373,1543.15651806523,3210.8196409858,5116.5022290112,779.009718212184,5895.88442526742,1758.48658401591,7655.79704707447,9061.43137792569,"July",7121.4731658267
1989,"Q4",1818.35077689967,776.245305358386,2601.32756864373,1755.01453527208,4334.92382434612,1011.98168948303,686.244449355534,1719.61514957604,1555.82897378886,3230.72747572105,5146.04177521918,784.307110278485,5931.00271080857,1770.64940587197,7703.69777112356,9127.57261893361,"October",7212.7856086378
1990,"Q1",1816.39637114817,781.481591494117,2603.78063437754,1766.10684023842,4349.05546954835,1012.08961599089,692.135518194787,1724.72050035835,1568.60083622253,3250.83104933707,5176.0480205773,789.552968734223,5966.5142398196,1782.74599553114,7751.867798755,9193.02960370494,"January",7304.09805144889
1990,"Q2",1814.44196539668,786.742648138055,2606.23370011136,1777.29292167779,4363.29620752415,1012.20853845626,698.057947189084,1729.82585114066,1581.47397088897,3271.1254843414,5206.33423994816,794.728379536925,6002.21094663654,1794.72285499868,7800.04044950789,9257.86872133082,"April",7395.41049425998
1990,"Q3",1812.4875596452,792.028327604455,2608.68676584518,1788.57079448602,4377.64067276415,1012.33843819557,704.013180583386,1734.93120192298,1594.45035608249,3291.60584953642,5236.72108663258,799.81592105027,6037.89407678062,1806.53057623997,7847.96356738289,9322.17578424967,"July",7486.72293707107
1990,"Q4",1810.53315389373,797.338464247818,2611.13983157902,1799.93833567106,4392.08337219609,1012.47929136338,710.002734524965,1740.03655270529,1607.5320256165,3312.26713044416,5267.03786504165,804.799773680608,6073.37558542463,1818.12414259632,7895.40124793516,9386.05532368477,"October",7578.03537988217
