"DATE","Quarter","Primary.Energy.Consumed.by.the.Residential.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Residential.Sector","End.Use.Energy.Consumed.by.the.Residential.Sector","Residential.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Residential.Sector","Primary.Energy.Consumed.by.the.Commercial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Commercial.Sector","End.Use.Energy.Consumed.by.the.Commercial.Sector","Commercial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Commercial.Sector","Primary.Energy.Consumed.by.the.Industrial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Industrial.Sector","End.Use.Energy.Consumed.by.the.Industrial.Sector","Industrial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Industrial.Sector","GDP","Month","Formatted.Data","Total.Energy.Consumed"
1981,"Q4",190.58867346939,478.993760204081,669.571127551022,525.812877551021,1195.39146428572,-5.53310714285726,51.905607142857,46.3614948979575,-240.082290816325,-193.716198979593,-310.859158163263,47.2680459183676,-263.58662755102,-104.951459183675,-368.539045918364,409.064760204084,"October",1981-10-01,-125.80359183674
1982,"Q1",541.302260204081,-798.256749999999,-256.946770408165,-1227.80446428571,-1484.75547959184,250.379704081633,-284.03394387755,-33.6419285714283,-260.440943877553,-294.089785714285,-79.4393010204094,-133.615280612246,-213.05184693878,-61.6245663265299,-274.683265306126,-103.474505102042,"January",1982-01-01,712.242663265311
1982,"Q2",-566.186836734694,640.335892857142,74.1467908163281,1055.80875510204,1129.9564744898,-323.632239795918,170.70500510204,-152.93418877551,170.545454081634,17.6223826530627,571.833790816324,73.2114846938787,645.038770408168,64.1917857142857,709.240841836738,-101.716862244897,"April",1982-04-01,-317.98528571429
1982,"Q3",-646.767096938775,-384.438903061224,-1031.20514795918,-543.664168367347,-1574.87445918368,-120.001357142858,50.2893316326531,-69.7133775510206,270.784780612244,201.060602040815,-624.171331632649,8.60674999999878,-615.558295918369,52.004239795918,-563.563530612247,-91.5993928571461,"July",1982-07-01,-1390.93978571428
1982,"Q4",910.013673469388,398.635760204081,1308.64612755102,505.904877551021,1814.56146428572,313.726892857143,-6.3423928571425,307.389494897959,-247.425290816326,59.9708010204085,502.745841836731,-19.5229540816317,483.21737244898,-100.983459183673,382.240954081635,235.854760204085,"October",1982-10-01,1726.48640816326
1983,"Q1",629.614260204082,-434.22475,195.394229591836,-727.059464285714,-531.671479591837,216.714704081632,-122.616943877551,94.0970714285709,-142.894943877551,-48.8057857142858,630.061698979593,-16.4752806122453,613.590153061222,-117.784566326532,495.800734693874,-116.306505102041,"January",1983-01-01,1476.39066326531
1983,"Q2",-1613.23283673469,223.519892857143,-1389.71420918367,529.036755102041,-860.677525510202,-652.008239795917,0.554005102040946,-651.461188775509,91.1324540816322,-560.31261734694,-2536.51520918367,15.0504846938778,-2521.46622959183,333.617785714286,-2187.84815816326,-15.8648622449009,"April",1983-04-01,-4801.75628571429
1983,"Q3",587.049903061225,-113.079903061224,473.967852040818,-264.927168367347,209.04454081632,337.786642857143,143.025331632653,480.823622448978,247.089780612246,727.892602040818,2379.71266836735,11.2787499999996,2390.99270408163,-234.064760204081,2156.93046938775,-62.2653928571399,"July",1983-07-01,3304.54921428572
1983,"Q4",269.870673469388,459.236760204081,729.107127551017,790.97887755102,1520.07546428572,4.70289285714216,33.8486071428573,38.5414948979599,-59.1372908163271,-20.5801989795932,-317.276158163266,25.2180459183678,-292.059627551019,85.9245408163258,-206.135045918361,215.048760204081,"October",1983-10-01,-42.7025918367381
1984,"Q1",671.866260204082,-737.58875,-65.7147704081599,-1309.02046428571,-1374.72247959184,252.630704081633,-246.383943877551,6.25007142857203,-338.343943877551,-332.100785714285,-24.7333010204047,-29.2072806122452,-53.9378469387766,16.6684336734702,-37.2712653061299,-98.9895051020421,"January",1984-01-01,899.76366326531
1984,"Q2",-1469.71583673469,442.495892857143,-1027.23220918367,683.854755102041,-343.3825255102,-435.837239795918,140.207005102041,-295.627188775512,142.067454081633,-153.55861734694,-1074.46920918368,-38.7015153061224,-1113.17722959183,-171.186214285715,-1284.36415816326,-64.3468622448963,"April",1984-04-01,-2980.02228571429
1984,"Q3",879.458903061225,-136.275903061224,743.192852040816,40.1298316326524,783.322540816323,219.398642857142,19.0333316326529,238.425622448981,254.636780612244,493.065602040817,892.76466836735,44.61175,937.384704081627,234.54723979592,1171.93546938775,47.9296071428544,"July",1984-07-01,1991.62221428572
1984,"Q4",-436.915326530612,401.227760204081,-35.6968724489789,512.078877551021,476.382464285714,-162.648107142857,105.426607142857,-57.2145051020409,-30.7262908163261,-87.9471989795925,182.458841836734,35.5630459183673,218.016372448987,-78.3354591836758,139.678954081635,-42.919239795915,"October",1984-10-01,-417.104591836742
1985,"Q1",659.295260204081,-739.181749999999,-79.8757704081645,-1471.71046428572,-1551.59047959183,291.530704081634,-276.102943877551,15.4210714285714,-517.680943877551,-502.251785714286,-33.8223010204065,-64.408280612245,-98.2308469387835,-181.072566326529,-279.30326530613,113.836494897958,"January",1985-01-01,917.003663265312
1985,"Q2",-346.841836734694,557.428892857142,210.581790816327,1405.13375510204,1615.71947448979,-209.61223979592,173.206005102041,-36.3991887755101,581.477454081633,545.068382653061,-1325.35920918368,-9.07951530612195,-1334.43422959183,316.214785714286,-1018.22115816326,-155.125862244898,"April",1985-04-01,-1881.81328571429
